num,message_id,tag,user_id,username,join_date,country,followers,following,posts_count,likes_counts,watchlist_counts,platform
4477,470623051,NULL,1073701,Cayjay,2017-05-26,US,39,43,2727,944,19,iOS
4478,470620515,Bullish,4686630,TheFallofAdam,2021-01-25,US,120,25,8195,17477,3,iOS
4479,470618703,NULL,1555408,STCKPRO,2018-07-24,US,9009,2,942455,51,0,STCK.PRO
4480,470618271,NULL,5062509,_StockDoc_,2021-02-17,US,32,0,10802,4573,37,Web
4481,470618196,NULL,1158084,GodiTwits,2017-08-16,US,2252,6,24167,12130,299,iOS
4482,470617473,Bullish,5692197,KuCoin,2021-07-08,US,22,0,1002,3064,6,iOS
4483,470617417,Bullish,6723414,__SuNdAyGrAvY__,2022-07-01,NULL,10,0,526,256,0,Web
4484,470617321,Bullish,1158084,GodiTwits,2017-08-16,US,2252,6,24167,12130,299,iOS
4485,470617252,NULL,3410652,printergobrrrr,2020-05-06,US,8,18,1511,1125,40,Android
4486,470616862,Bearish,6005288,Ethman1994,2021-10-21,US,8,0,1538,41,0,Web
4487,470616119,NULL,1263138,RGeek,2017-11-10,US,626,386,23421,4872,193,iOS
4488,470613516,Bullish,1870449,9owls,2019-02-14,US,109,4,12216,1108,22,Web
4489,470611457,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4490,470611046,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8449,3,167850,21811,296,Web
4491,470610098,NULL,551986,CrzyChris5,2015-07-17,US,220,1,9428,1607,16,Android
4492,470608930,Bullish,6719220,erdinway,2022-06-29,NULL,1,0,16,1,8,Web
4493,470608639,NULL,1946005,Cryptonomia,2019-03-18,US,1285,1,19451,64,13,feed
4494,470608178,Bearish,5295994,DigitalDataNomad,2021-03-29,US,352,168,16251,18529,19,Web
4495,470607852,NULL,1555408,STCKPRO,2018-07-24,US,9009,2,942455,51,0,STCK.PRO
4496,470607331,NULL,6719220,erdinway,2022-06-29,NULL,1,0,16,1,8,Web
4497,470606611,NULL,3057652,TopStonks,2020-01-27,US,2329,1324,87637,732,2,TopStonks
4498,470606522,NULL,892450,LiteForex_1,2016-12-02,US,191,1870,2688,27,59,Web
4499,470605672,Bullish,6641050,blackeagle7,2022-05-24,US,8,7,481,14574,14,Android
4500,470605495,NULL,3057652,TopStonks,2020-01-27,US,2329,1324,87637,732,2,TopStonks
4501,470605374,NULL,2942766,Decrypt,2019-12-01,US,291,362,12134,169,0,Zapier
4502,470605356,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4503,470605257,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4504,470604783,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4505,470604278,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4506,470604173,NULL,324553,AlienOvichO,2014-03-05,US,585,58,7193,95,1,Web
4507,470603486,Bullish,4488584,Asaldana97,2020-12-29,US,13,5,30,142,7,iOS
4508,470603150,Bearish,6358556,rumneychel,2022-02-26,US,20,10,1091,265,15,iOS
